PlanetIdentifier,PlanetaryMassJpt,RadiusJpt,SurfaceTempK
Kepler-596 b,,0.309,
Kepler-335 b,,0.30893,
Kepler-310 c,,0.30802,
Kepler-275 c,,0.30802,
Kepler-139 c,,0.30802,
Kepler-268 c,,0.30802,
Kepler-340 c,,0.30711,
Kepler-143 c,,0.30711,
Kepler-103 b,,0.307109,
Kepler-277 c,0.20856,0.3062,
Kepler-79 e,,0.3062,
EPIC 210490365 b,,0.306,
Kepler-712 b,,0.304,
Kepler-616 c,,0.304,
Kepler-711 b,,0.304,
Kepler-11 g,,0.303464,386.4
Kepler-264 b,,0.30346,
Kepler-275 d,,0.30346,
Kepler-1360 b,,0.303,
Kepler-1051 b,,0.303,
Kepler-591 b,,0.302,
Kepler-533 b,,0.302,
Kepler-766 b,,0.302,
Kepler-965 b,,0.302,
Kepler-207 d,,0.30164,
Kepler-1083 b,,0.3,
Kepler-541 b,,0.3,
Kepler-1510 b,,0.3,
Kepler-1057 b,,0.3,
Kepler-684 b,,0.3,
Kepler-609 b,,0.299,
Kepler-1451 b,,0.299,
Kepler-728 b,,0.298,
Kepler-940 b,,0.298,
Kepler-368 b,,0.29708,
Kepler-287 c,,0.29708,
Kepler-199 c,,0.29617,
Kepler-1270 b,,0.296,
Kepler-620 b,,0.296,
Kepler-739 b,,0.296,
Kepler-606 b,,0.295,
Kepler-724 b,,0.294,
Kepler-464 b,,0.294,
Kepler-610 c,,0.294,
Kepler-1467 b,,0.294,
KOI-179.01,,0.2935,
Kepler-1080 b,,0.293,
